Table ID,Table Name,Table Label,Record Family,Category,Is Custom,Is System,Field Count,Has Overview,Base Type,Description,Available,Feature Required,Permission Required
CUSTOMLIST1872,CUSTOMLIST1872,[eb] VBD Approval Status,CUSTOMLIST,System,No,Yes,0,Yes,CUSTOMLIST,,Yes,,
LotNumberedAssemblyItem,LotNumberedAssemblyItem,[Missing Label:com.netledger.app.platform.records.assemblyitem.LotNumberedAssemblyItem],ITEM,System,No,Yes,0,Yes,ITEM,,Yes,,
SerializedAssemblyItem,SerializedAssemblyItem,[Missing Label:com.netledger.app.platform.records.assemblyitem.SerializedAssemblyItem],ITEM,System,No,Yes,0,Yes,ITEM,,Yes,,
BankImportHistory,BankImportHistory,[Missing Label:com.netledger.app.platform.records.bankimporthistory.BankImportHistory],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
Cookie,Cookie,[Missing Label:com.netledger.app.platform.records.commerce.analytics.Cookie],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
LotNumberedInventoryItem,LotNumberedInventoryItem,[Missing Label:com.netledger.app.platform.records.inventoryitem.LotNumberedInventoryItem],ITEM,System,No,Yes,0,Yes,ITEM,,Yes,,
SerializedInventoryItem,SerializedInventoryItem,[Missing Label:com.netledger.app.platform.records.inventoryitem.SerializedInventoryItem],ITEM,System,No,Yes,0,Yes,ITEM,,Yes,,
LiabilityPayment,LiabilityPayment,[Missing Label:com.netledger.app.platform.records.liabilitypayments.LiabilityPayment],TRANSACTION,System,No,Yes,0,Yes,TRANSACTION,,Yes,,
ManufacturingTransactionArtBase,ManufacturingTransactionArtBase,[Missing Label:com.netledger.app.platform.records.manufacturing.ManufacturingTransactionArtBase],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
OidcSetup,OidcSetup,[Missing Label:com.netledger.app.platform.records.oidc.OidcSetup],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
RevRecAmortizationSchedule,RevRecAmortizationSchedule,[Missing Label:com.netledger.app.platform.records.revrecschedulecommon.RevRecAmortizationSchedule],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
RevRecAmortizationTemplate,RevRecAmortizationTemplate,[Missing Label:com.netledger.app.platform.records.revrecschedulecommon.RevRecAmortizationTemplate],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
JournalTransactions,JournalTransactions,[Missing Label:com.netledger.app.platform.records.sales.JournalTransactions],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
RecentTransactionsWithoutJournal,RecentTransactionsWithoutJournal,[Missing Label:com.netledger.app.platform.records.sales.RecentTransactionsWithoutJournal],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
EventResponseType,EventResponseType,[Missing Label:com.netledger.app.platform.records.system.EventResponseType],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
productFeedType,productFeedType,[Missing Label:com.netledger.app.platform.records.system.ProductFeedType],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
revenueElementLineType,revenueElementLineType,[Missing Label:com.netledger.app.platform.records.system.RevenueElementLineType],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
TimeBreakdownEntry,TimeBreakdownEntry,[Missing Label:com.netledger.app.platform.records.timebreakdownentry.TimeBreakdownEntry],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
DeprecatedCustTranType,DeprecatedCustTranType,[Missing Label:com.netledger.app.platform.records.transaction.DeprecatedCustTranType],TRANSACTION,System,No,Yes,0,Yes,TRANSACTION,,Yes,,
WebApplicationDeployment,WebApplicationDeployment,[Missing Label:com.netledger.app.platform.records.website.siteentrypoint.WebApplicationDeployment],OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
YearToDateAdjustment,YearToDateAdjustment,[Missing Label:com.netledger.app.platform.records.yeartodateadjustment.YearToDateAdjustment],TRANSACTION,System,No,Yes,0,Yes,TRANSACTION,,Yes,,
category1099misc,category1099misc,1099-MISC Category,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
ThreeDSTranStatus,ThreeDSTranStatus,3D Secure Transaction Status,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
ThreeDSTranStatusReason,ThreeDSTranStatusReason,3D Secure Transaction Status Reason,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
ThreeDSVersion,ThreeDSVersion,3D Secure Version,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
OAuthToken,OAuthToken,Access Token,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
Account,Account,Account,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
CUSTOMRECORD_NS_IBE_ACCOUNT_CONFIG,CUSTOMRECORD_NS_IBE_ACCOUNT_CONFIG,Account Configuration,CUSTOM,Custom,Yes,No,0,Yes,CUSTOM,,Yes,,
CUSTOMRECORD_NS_IBE_ACCNT_CONFIG_TYPES,CUSTOMRECORD_NS_IBE_ACCNT_CONFIG_TYPES,Account Configuration Types,CUSTOM,Custom,Yes,No,0,Yes,CUSTOM,,Yes,,
CUSTOMRECORD_NS_IBE_ACCOUNT_ENVIRONMENT,CUSTOMRECORD_NS_IBE_ACCOUNT_ENVIRONMENT,Account Environment,CUSTOM,Custom,Yes,No,0,Yes,CUSTOM,,Yes,,
accountingBook,accountingBook,Accounting Book,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
AccountingContext,AccountingContext,Accounting Context,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
TransactionAccountingLineType,TransactionAccountingLineType,Accounting Line Type,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
accountingPeriod,accountingPeriod,Accounting Period,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
AccountPeriodActivity,AccountPeriodActivity,Account Period Activity,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
AutomatedClearingHouseAccountType,AutomatedClearingHouseAccountType,Account Type,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
accountType,accountType,Account Type,OTHER,System,No,Yes,0,Yes,OTHER,,Yes,,
